epoch,train,val,test
1,0.024230,0.018960,0.018890
2,0.018027,0.016971,0.016903
3,0.016321,0.016888,0.016880
4,0.015212,0.016265,0.016207
5,0.014623,0.014076,0.013955
6,0.014015,0.014332,0.014208
7,0.013498,0.013178,0.013054
8,0.013300,0.012449,0.012288
9,0.013075,0.012916,0.012775
10,0.012859,0.012776,0.012696
11,0.012642,0.011670,0.011521
12,0.012304,0.012508,0.012355
13,0.012152,0.011650,0.011490
14,0.011923,0.012854,0.012808
15,0.011694,0.011526,0.011478
16,0.011363,0.011067,0.011013
17,0.011081,0.012281,0.012224
18,0.010810,0.011388,0.011349
19,0.010698,0.010371,0.010322
20,0.010640,0.010772,0.010657
21,0.010537,0.010649,0.010545
22,0.010356,0.010615,0.010545
23,0.010140,0.010079,0.010042
24,0.010349,0.010415,0.010365
25,0.010201,0.009936,0.009874
26,0.009864,0.009643,0.009615
27,0.009588,0.009662,0.009629
28,0.009683,0.009131,0.009045
29,0.009339,0.009431,0.009363
30,0.009205,0.008921,0.008905
31,0.009230,0.008907,0.008873
32,0.009141,0.008994,0.008972
33,0.009358,0.008884,0.008852
34,0.008903,0.009634,0.009525
35,0.008896,0.008780,0.008684
36,0.008884,0.009182,0.009142
37,0.008953,0.008777,0.008697
38,0.008776,0.008853,0.008769
39,0.008768,0.008571,0.008533
40,0.008759,0.008594,0.008500
41,0.008689,0.009039,0.008996
42,0.008639,0.008514,0.008426
43,0.008543,0.008451,0.008375
44,0.008579,0.008346,0.008311
45,0.008597,0.008938,0.008906
46,0.008514,0.008195,0.008156
47,0.008472,0.008117,0.008018
48,0.008593,0.008912,0.008773
49,0.008322,0.008510,0.008391
50,0.008352,0.008356,0.008246
51,0.008628,0.009772,0.009671
52,0.008503,0.008456,0.008340
53,0.008564,0.008066,0.008002
54,0.008436,0.008345,0.008274
55,0.008380,0.008773,0.008693
56,0.008476,0.008121,0.008038
57,0.008412,0.009157,0.009104
58,0.008444,0.009291,0.009190
59,0.008301,0.008200,0.008120
60,0.008382,0.008334,0.008274
61,0.008272,0.008258,0.008133
62,0.008305,0.008418,0.008347
63,0.008255,0.008069,0.008007
64,0.008161,0.008329,0.008284
65,0.008222,0.008008,0.007927
66,0.008181,0.007910,0.007850
67,0.008154,0.007955,0.007864
68,0.008126,0.007929,0.007838
69,0.008097,0.007927,0.007824
70,0.008201,0.008131,0.008018
71,0.008131,0.008286,0.008253
72,0.008255,0.008271,0.008170
73,0.008039,0.007610,0.007528
74,0.008051,0.008022,0.007923
75,0.007998,0.008186,0.008121
76,0.007972,0.007646,0.007584
77,0.007917,0.008095,0.007978
78,0.008012,0.008135,0.007999
79,0.007927,0.007888,0.007816
80,0.007929,0.008231,0.008114
81,0.008090,0.007662,0.007578
82,0.008150,0.007719,0.007644
83,0.007844,0.007790,0.007711
84,0.007919,0.007882,0.007871
85,0.007918,0.007649,0.007567
86,0.007835,0.007694,0.007617
87,0.007771,0.008051,0.008005
88,0.007927,0.008123,0.008072
89,0.007900,0.008768,0.008688
90,0.007824,0.009349,0.009324
91,0.007967,0.007706,0.007685
92,0.007886,0.007880,0.007789
93,0.007685,0.007510,0.007406
94,0.008098,0.007591,0.007531
95,0.007868,0.010323,0.010264
96,0.007750,0.007640,0.007552
97,0.007734,0.007565,0.007498
98,0.007841,0.007628,0.007560
99,0.007704,0.007903,0.007820
100,0.007676,0.008307,0.008179
