epoch,train,val,test
1,1.029906,0.840099,0.834244
2,0.734528,0.651267,0.646685
3,0.475745,0.354436,0.357872
4,0.300074,0.266318,0.267701
5,0.269408,0.260329,0.261090
6,0.259677,0.243091,0.243489
7,0.248404,0.240666,0.241590
8,0.244723,0.242691,0.242118
9,0.241106,0.236973,0.236846
10,0.237861,0.233309,0.232794
11,0.228343,0.256211,0.255089
12,0.223991,0.213314,0.212721
13,0.217999,0.209288,0.209986
14,0.212491,0.200655,0.201006
15,0.209584,0.203080,0.204121
16,0.201730,0.223126,0.223559
17,0.198824,0.192686,0.192461
18,0.193072,0.190237,0.190663
19,0.190803,0.188668,0.190083
20,0.188711,0.177459,0.177780
21,0.183415,0.174637,0.175327
22,0.181120,0.170824,0.171397
23,0.177192,0.176138,0.175855
24,0.175491,0.177162,0.176539
25,0.173031,0.163034,0.163473
26,0.169574,0.161938,0.162508
27,0.170895,0.163266,0.163534
28,0.164639,0.172995,0.172962
29,0.164153,0.161422,0.160708
30,0.162746,0.154597,0.154537
31,0.161388,0.177453,0.177830
32,0.159234,0.156821,0.156476
33,0.156994,0.157303,0.156587
34,0.156081,0.156948,0.155751
35,0.155343,0.150334,0.150062
36,0.153005,0.152665,0.152285
37,0.149938,0.149521,0.148851
38,0.149993,0.161515,0.160572
39,0.149029,0.147995,0.147525
40,0.146742,0.154351,0.153392
41,0.146451,0.142316,0.141744
42,0.144574,0.140761,0.138826
43,0.143694,0.144634,0.142543
44,0.142985,0.155029,0.152989
45,0.140007,0.140102,0.139392
46,0.139768,0.135345,0.133049
47,0.138938,0.134106,0.133183
48,0.137119,0.139439,0.136958
49,0.136542,0.138123,0.136341
50,0.135192,0.130862,0.129564
51,0.138364,0.133369,0.132632
52,0.136205,0.135285,0.133737
53,0.134900,0.137306,0.135755
54,0.133748,0.139698,0.137180
55,0.133177,0.130258,0.128920
56,0.131533,0.125676,0.124984
57,0.131318,0.129066,0.128134
58,0.130681,0.121209,0.119193
59,0.129105,0.121675,0.120299
60,0.128735,0.123574,0.122148
61,0.127870,0.130467,0.129510
62,0.126882,0.130353,0.129164
63,0.125425,0.117443,0.116504
64,0.124414,0.117794,0.116581
65,0.123430,0.125728,0.125723
66,0.123887,0.122565,0.121765
67,0.121869,0.118712,0.117284
68,0.121418,0.117999,0.117069
69,0.120647,0.116555,0.115174
70,0.120053,0.120046,0.118959
71,0.118918,0.110972,0.109534
72,0.117704,0.138631,0.137137
73,0.118265,0.114201,0.112994
74,0.117698,0.126036,0.124105
75,0.116376,0.109281,0.108559
76,0.115100,0.123700,0.122654
77,0.114959,0.111520,0.110520
78,0.114187,0.142157,0.140901
79,0.112937,0.110210,0.110672
80,0.112793,0.106771,0.105784
81,0.111797,0.113130,0.113017
82,0.111439,0.109522,0.108382
83,0.110923,0.112541,0.111876
84,0.109714,0.113261,0.112620
85,0.109071,0.107713,0.106457
86,0.109239,0.101189,0.100476
87,0.107518,0.108229,0.107833
88,0.107970,0.101648,0.100735
89,0.107436,0.099528,0.099039
90,0.106840,0.100717,0.100519
91,0.105790,0.101672,0.100484
92,0.105514,0.101909,0.101655
93,0.105713,0.102377,0.101907
94,0.104395,0.104669,0.104529
95,0.104807,0.106035,0.105179
96,0.104436,0.099675,0.098833
97,0.103735,0.111826,0.110945
98,0.104337,0.101242,0.100946
99,0.102791,0.100933,0.100899
100,0.102381,0.095789,0.095705
