epoch,train,val,test
1,0.023151,0.017532,0.017392
2,0.016792,0.015906,0.015761
3,0.015789,0.015868,0.015757
4,0.014977,0.015604,0.015476
5,0.014475,0.014381,0.014230
6,0.013925,0.013114,0.012970
7,0.013589,0.013180,0.013082
8,0.013405,0.012466,0.012282
9,0.013052,0.014259,0.014068
10,0.013084,0.012509,0.012351
11,0.012587,0.011902,0.011653
12,0.012154,0.011788,0.011591
13,0.012106,0.011641,0.011377
14,0.011913,0.011662,0.011454
15,0.011598,0.012748,0.012581
16,0.011673,0.012283,0.012252
17,0.011514,0.012479,0.012330
18,0.011173,0.011452,0.011403
19,0.011402,0.011179,0.011036
20,0.011259,0.010760,0.010701
21,0.011077,0.010667,0.010524
22,0.010977,0.011235,0.011099
23,0.010703,0.010383,0.010332
24,0.010649,0.009965,0.009907
25,0.010626,0.010271,0.010183
26,0.010390,0.010718,0.010552
27,0.010300,0.009674,0.009579
28,0.010316,0.009800,0.009751
29,0.010177,0.010183,0.010095
30,0.010091,0.010077,0.009913
31,0.010101,0.010114,0.010034
32,0.010065,0.010248,0.010089
33,0.009983,0.011406,0.011361
34,0.009860,0.009756,0.009661
35,0.009873,0.009454,0.009338
36,0.009824,0.009784,0.009684
37,0.009792,0.009351,0.009262
38,0.009721,0.009480,0.009376
39,0.009671,0.009961,0.009926
40,0.009575,0.009749,0.009614
41,0.009595,0.009389,0.009301
42,0.009450,0.009777,0.009690
43,0.009524,0.009537,0.009413
44,0.009473,0.009046,0.008943
45,0.009473,0.009752,0.009577
46,0.009390,0.009315,0.009242
47,0.009325,0.009176,0.009067
48,0.009303,0.009141,0.009066
49,0.009353,0.009297,0.009108
50,0.009291,0.009122,0.008986
51,0.009409,0.009275,0.009172
52,0.009380,0.009325,0.009250
53,0.009386,0.010944,0.010753
54,0.009274,0.009280,0.009186
55,0.009273,0.009052,0.008895
56,0.009282,0.008937,0.008778
57,0.009228,0.008972,0.008905
58,0.009174,0.011172,0.010995
59,0.009121,0.009813,0.009592
60,0.009074,0.009815,0.009643
61,0.009067,0.008733,0.008664
62,0.009066,0.009014,0.008942
63,0.009014,0.008888,0.008887
64,0.008985,0.008846,0.008762
65,0.009020,0.008807,0.008665
66,0.008892,0.008725,0.008658
67,0.008961,0.008932,0.008820
68,0.008855,0.008783,0.008707
69,0.008874,0.008646,0.008576
70,0.008820,0.009079,0.008932
71,0.008838,0.008707,0.008643
72,0.008856,0.008835,0.008742
73,0.008772,0.008896,0.008753
74,0.008768,0.008931,0.008877
75,0.008771,0.009017,0.008989
76,0.008763,0.008499,0.008403
77,0.008737,0.008893,0.008774
78,0.008702,0.009213,0.009125
79,0.008711,0.008197,0.008124
80,0.008687,0.008575,0.008459
81,0.008642,0.008515,0.008416
82,0.008631,0.008726,0.008653
83,0.008603,0.009514,0.009395
84,0.008548,0.008488,0.008462
85,0.008604,0.008334,0.008247
86,0.008523,0.008338,0.008221
87,0.008580,0.008246,0.008115
88,0.008518,0.008327,0.008217
89,0.008528,0.008346,0.008296
90,0.008518,0.008797,0.008701
91,0.008504,0.008660,0.008508
92,0.008514,0.008528,0.008432
93,0.008470,0.008852,0.008692
94,0.008486,0.008568,0.008483
95,0.008450,0.009322,0.009301
96,0.008433,0.008420,0.008294
97,0.008468,0.008277,0.008178
98,0.008439,0.008503,0.008395
99,0.008441,0.008700,0.008632
100,0.008396,0.008184,0.008108
