epoch,train,val,test
1,0.606974,0.416865,0.413365
2,0.363583,0.319418,0.317395
3,0.309395,0.300886,0.298775
4,0.298717,0.290470,0.288762
5,0.287308,0.277729,0.276656
6,0.272759,0.277667,0.276274
7,0.266658,0.259311,0.258813
8,0.259788,0.251881,0.251654
9,0.253826,0.246668,0.246543
10,0.248384,0.246662,0.245906
11,0.245474,0.250229,0.250983
12,0.240042,0.239664,0.237399
13,0.236161,0.237943,0.235382
14,0.231365,0.227693,0.225953
15,0.227468,0.224079,0.222593
16,0.225008,0.219309,0.218492
17,0.221282,0.217099,0.215243
18,0.218495,0.217872,0.215796
19,0.216869,0.223598,0.223717
20,0.213897,0.209067,0.208256
21,0.211780,0.216424,0.214257
22,0.209787,0.205417,0.204224
23,0.208223,0.227848,0.224883
24,0.204668,0.206908,0.204976
25,0.202684,0.197045,0.196174
26,0.198580,0.192496,0.191592
27,0.196804,0.193401,0.192563
28,0.194146,0.217586,0.217685
29,0.193110,0.193658,0.192571
30,0.189640,0.184406,0.182855
31,0.187273,0.188036,0.186083
32,0.185922,0.180872,0.179831
33,0.184852,0.182603,0.181768
34,0.182128,0.194013,0.194728
35,0.183502,0.185312,0.182825
36,0.179021,0.173711,0.171729
37,0.179775,0.179629,0.177227
38,0.176607,0.172519,0.170432
39,0.175344,0.172114,0.170908
40,0.174015,0.172177,0.170360
41,0.174004,0.169755,0.166722
42,0.172106,0.168761,0.166325
43,0.170981,0.177123,0.174420
44,0.170458,0.168597,0.167052
45,0.168108,0.166039,0.162971
46,0.169211,0.168539,0.165751
47,0.167433,0.181248,0.180705
48,0.168210,0.163239,0.160955
49,0.166425,0.164267,0.161717
50,0.166679,0.160452,0.157966
51,0.168070,0.165658,0.164404
52,0.166690,0.173971,0.172313
53,0.165919,0.162230,0.160488
54,0.165720,0.179587,0.176719
55,0.165351,0.159769,0.156994
56,0.164471,0.175614,0.172630
57,0.163499,0.157197,0.154532
58,0.162557,0.164678,0.161436
59,0.162837,0.180111,0.177325
60,0.162002,0.157133,0.154310
61,0.161739,0.164092,0.161450
62,0.160196,0.163306,0.161417
63,0.159983,0.163445,0.160413
64,0.159186,0.154003,0.151468
65,0.157642,0.168637,0.166598
66,0.156937,0.155807,0.152806
67,0.155429,0.157490,0.154997
68,0.156203,0.151865,0.149703
69,0.154348,0.168028,0.165360
70,0.153117,0.163847,0.160989
71,0.152569,0.156403,0.153919
72,0.151393,0.145690,0.143026
73,0.149899,0.168005,0.167493
74,0.149319,0.144332,0.142705
75,0.148867,0.144554,0.142116
76,0.148195,0.150653,0.148915
77,0.146614,0.148289,0.146637
78,0.146566,0.142550,0.140380
79,0.145165,0.149513,0.147953
80,0.144464,0.142574,0.140598
81,0.143676,0.157761,0.157182
82,0.142826,0.147543,0.146606
83,0.142574,0.144461,0.142452
84,0.141693,0.143004,0.141679
85,0.141000,0.142106,0.140132
86,0.139373,0.144434,0.143370
87,0.138759,0.136971,0.134626
88,0.138124,0.148327,0.146343
89,0.137053,0.159835,0.158993
90,0.135266,0.133983,0.132415
91,0.134793,0.132580,0.130933
92,0.134420,0.129647,0.127655
93,0.133373,0.138041,0.136591
94,0.132202,0.129837,0.127547
95,0.132345,0.133202,0.131805
96,0.131193,0.130265,0.128211
97,0.130592,0.135982,0.134617
98,0.129846,0.127046,0.125504
99,0.129363,0.129814,0.128829
100,0.129192,0.125581,0.123585
