epoch,train,val,test
1,0.429022,0.300691,0.301553
2,0.288521,0.319651,0.321415
3,0.276111,0.274477,0.276899
4,0.265000,0.251078,0.252436
5,0.257828,0.253336,0.255456
6,0.247473,0.250327,0.251652
7,0.243836,0.267534,0.267811
8,0.238826,0.225351,0.226539
9,0.231091,0.218678,0.219795
10,0.228425,0.227664,0.228564
11,0.223684,0.238134,0.240104
12,0.219549,0.221241,0.222100
13,0.215451,0.203532,0.203589
14,0.210910,0.197326,0.198381
15,0.208351,0.199879,0.200535
16,0.205712,0.247623,0.248497
17,0.205443,0.197610,0.198865
18,0.201399,0.235151,0.236316
19,0.198850,0.196197,0.197393
20,0.198892,0.198566,0.199705
21,0.195452,0.185903,0.187500
22,0.193132,0.197415,0.199080
23,0.193625,0.183521,0.183807
24,0.191223,0.184055,0.184770
25,0.190419,0.188933,0.189272
26,0.193354,0.183689,0.185101
27,0.191355,0.209643,0.209907
28,0.187616,0.180238,0.181941
29,0.189159,0.184636,0.185265
30,0.184619,0.196867,0.198860
31,0.184198,0.177708,0.178525
32,0.184494,0.182603,0.183204
33,0.180526,0.172515,0.173313
34,0.180603,0.200446,0.201653
35,0.181984,0.186151,0.186403
36,0.179595,0.174172,0.174494
37,0.178020,0.173739,0.173910
38,0.177013,0.190889,0.192068
39,0.177213,0.165314,0.166329
40,0.175025,0.172343,0.171943
41,0.174397,0.179001,0.179438
42,0.172430,0.184271,0.185218
43,0.173448,0.165155,0.165809
44,0.170979,0.191444,0.192253
45,0.168711,0.175221,0.175763
46,0.167826,0.162849,0.163005
47,0.169079,0.168175,0.169668
48,0.169477,0.192765,0.193047
49,0.167792,0.168272,0.168124
50,0.164818,0.160398,0.160064
51,0.168312,0.164667,0.164851
52,0.166633,0.168454,0.168030
53,0.166536,0.157458,0.157854
54,0.164688,0.174030,0.173670
55,0.164500,0.159631,0.159778
56,0.162887,0.184623,0.184102
57,0.161680,0.165758,0.165332
58,0.161807,0.158806,0.158758
59,0.161423,0.153813,0.154133
60,0.158976,0.161532,0.162012
61,0.159636,0.160561,0.160199
62,0.158232,0.150386,0.149804
63,0.157315,0.206299,0.205477
64,0.156899,0.158966,0.158794
65,0.156252,0.169650,0.169927
66,0.154437,0.157690,0.157075
67,0.154782,0.155395,0.154435
68,0.153546,0.193035,0.191898
69,0.153486,0.149782,0.149044
70,0.152389,0.161901,0.161947
71,0.151679,0.157325,0.157592
72,0.151261,0.148546,0.148104
73,0.150085,0.155143,0.153613
74,0.149087,0.142551,0.141866
75,0.150236,0.142932,0.142218
76,0.148439,0.145218,0.144956
77,0.148005,0.148811,0.148241
78,0.146794,0.159530,0.159611
79,0.146077,0.142393,0.141488
80,0.146309,0.140733,0.139430
81,0.146076,0.147553,0.146429
82,0.145061,0.146195,0.146518
83,0.144291,0.148007,0.147078
84,0.143388,0.138626,0.137764
85,0.143185,0.170293,0.168876
86,0.142884,0.136643,0.135936
87,0.141763,0.155984,0.154988
88,0.141383,0.138431,0.137851
89,0.141364,0.141130,0.139932
90,0.139780,0.134890,0.134143
91,0.139996,0.150070,0.149688
92,0.140117,0.142904,0.142198
93,0.138383,0.132217,0.130874
94,0.138073,0.142544,0.141312
95,0.137441,0.138651,0.137450
96,0.136303,0.141790,0.140736
97,0.137216,0.133532,0.132525
98,0.134859,0.134937,0.132780
99,0.134980,0.151571,0.150609
100,0.134304,0.137161,0.135756
