epoch,train,val,test
1,0.561642,0.286996,0.288156
2,0.275761,0.260087,0.259048
3,0.245612,0.234242,0.233044
4,0.229121,0.224023,0.221781
5,0.222515,0.217101,0.215273
6,0.216650,0.210829,0.208854
7,0.211936,0.203942,0.201364
8,0.209104,0.201797,0.200295
9,0.206427,0.206001,0.204415
10,0.199511,0.195341,0.193682
11,0.195867,0.190640,0.187739
12,0.192046,0.190655,0.187892
13,0.190088,0.188266,0.185785
14,0.187575,0.196958,0.195770
15,0.184549,0.178056,0.175597
16,0.182844,0.188182,0.185608
17,0.181483,0.180576,0.178620
18,0.181467,0.175371,0.172728
19,0.178712,0.173918,0.171078
20,0.179005,0.173553,0.170477
21,0.176851,0.182107,0.178809
22,0.176186,0.174431,0.172077
23,0.175789,0.187187,0.185362
24,0.174404,0.169698,0.166850
25,0.174856,0.171024,0.168742
26,0.171328,0.172883,0.169416
27,0.171647,0.165380,0.162581
28,0.171760,0.169005,0.165667
29,0.169794,0.171435,0.168647
30,0.169821,0.165369,0.163049
31,0.168566,0.162674,0.160501
32,0.167573,0.166197,0.164312
33,0.167512,0.161190,0.158947
34,0.165456,0.159473,0.156930
35,0.165805,0.163207,0.159976
36,0.164710,0.158353,0.155439
37,0.164362,0.158004,0.155860
38,0.163024,0.157768,0.155321
39,0.162492,0.161304,0.158098
40,0.161207,0.165476,0.163219
41,0.160118,0.154693,0.152412
42,0.158771,0.154092,0.151831
43,0.160377,0.163870,0.160798
44,0.158448,0.158260,0.155650
45,0.157967,0.155839,0.152950
46,0.156448,0.161718,0.158772
47,0.155892,0.181752,0.180583
48,0.156457,0.160126,0.157807
49,0.155492,0.175462,0.171904
50,0.156621,0.163883,0.162490
51,0.156132,0.159048,0.156789
52,0.156319,0.203168,0.202529
53,0.154858,0.162606,0.161188
54,0.154634,0.149092,0.146278
55,0.153544,0.146196,0.144155
56,0.153575,0.147840,0.145802
57,0.152136,0.146167,0.143700
58,0.152017,0.156364,0.154919
59,0.151107,0.148168,0.146600
60,0.150597,0.145460,0.144012
61,0.150362,0.145809,0.143795
62,0.149446,0.167101,0.166601
63,0.148287,0.141987,0.140121
64,0.147210,0.148262,0.147412
65,0.146642,0.142068,0.141225
66,0.145313,0.146194,0.144209
67,0.144325,0.137297,0.135692
68,0.143730,0.150096,0.148475
69,0.142705,0.136810,0.135670
70,0.141799,0.140482,0.139704
71,0.141769,0.133573,0.131969
72,0.140652,0.140520,0.139786
73,0.139777,0.151937,0.150296
74,0.139286,0.134148,0.133354
75,0.139431,0.134846,0.133924
76,0.138130,0.133062,0.132673
77,0.137618,0.140779,0.140850
78,0.137269,0.140435,0.139406
79,0.135547,0.140039,0.140042
80,0.135796,0.131414,0.130992
81,0.134859,0.143993,0.142662
82,0.134157,0.129908,0.130382
83,0.133899,0.138155,0.138998
84,0.133687,0.134581,0.135097
85,0.132719,0.144744,0.143773
86,0.132605,0.134995,0.133132
87,0.131073,0.126918,0.125948
88,0.131503,0.146588,0.148983
89,0.130964,0.142288,0.141120
90,0.129135,0.133827,0.132412
91,0.129469,0.149733,0.151673
92,0.129848,0.127869,0.127014
93,0.127520,0.132165,0.133185
94,0.127457,0.123700,0.122878
95,0.127998,0.122135,0.122394
96,0.126841,0.126724,0.128014
97,0.127347,0.123264,0.122982
98,0.125459,0.124169,0.125882
99,0.125118,0.121944,0.122103
100,0.125118,0.135450,0.135527
