epoch,train,val,test
1,0.900548,0.698292,0.694440
2,0.564872,0.426035,0.424888
3,0.339086,0.295269,0.298256
4,0.276643,0.257259,0.257409
5,0.256453,0.241629,0.242629
6,0.244935,0.250922,0.250340
7,0.237603,0.281863,0.279414
8,0.229916,0.217909,0.218774
9,0.221922,0.214642,0.216563
10,0.214932,0.205916,0.206923
11,0.204387,0.207830,0.207158
12,0.198759,0.223951,0.226861
13,0.195330,0.187193,0.187820
14,0.188130,0.194111,0.195109
15,0.182661,0.174702,0.174081
16,0.177186,0.189501,0.189960
17,0.177849,0.163846,0.163569
18,0.168929,0.170244,0.168495
19,0.164417,0.163914,0.164124
20,0.160168,0.157526,0.156582
21,0.158614,0.160399,0.160442
22,0.155452,0.172440,0.171112
23,0.151780,0.149045,0.148302
24,0.148291,0.147479,0.146900
25,0.146743,0.148557,0.148151
26,0.146508,0.143494,0.143034
27,0.142032,0.154901,0.154217
28,0.139187,0.137706,0.137067
29,0.138878,0.131159,0.130710
30,0.136124,0.138342,0.138232
31,0.135032,0.145489,0.145663
32,0.133625,0.139232,0.139588
33,0.131869,0.148168,0.148135
34,0.130365,0.140396,0.140877
35,0.129627,0.127169,0.127565
36,0.127103,0.126242,0.126193
37,0.125763,0.122535,0.122890
38,0.125762,0.120479,0.119618
39,0.124248,0.120678,0.120803
40,0.123918,0.128073,0.127086
41,0.122837,0.122731,0.122323
42,0.120913,0.120155,0.119975
43,0.121130,0.121066,0.120823
44,0.118823,0.116612,0.116461
45,0.120123,0.117419,0.116601
46,0.117160,0.115994,0.116162
47,0.116761,0.124720,0.124503
48,0.116280,0.111306,0.111163
49,0.115440,0.117262,0.117774
50,0.114995,0.112140,0.111882
51,0.115992,0.113842,0.113351
52,0.115338,0.109012,0.109684
53,0.114503,0.118269,0.118280
54,0.113110,0.122508,0.122340
55,0.111539,0.112248,0.112335
56,0.110788,0.115355,0.115561
57,0.110043,0.106424,0.106376
58,0.108995,0.105572,0.105100
59,0.108182,0.106712,0.106800
60,0.106965,0.105933,0.105496
61,0.106476,0.103346,0.103446
62,0.106215,0.107535,0.107694
63,0.104095,0.110242,0.111161
64,0.103693,0.102223,0.102529
65,0.103134,0.113376,0.112476
66,0.102284,0.104085,0.103909
67,0.102156,0.098789,0.099105
68,0.101725,0.099663,0.098789
69,0.100421,0.099226,0.099997
70,0.100335,0.106080,0.106378
71,0.099608,0.099510,0.098997
72,0.098866,0.101751,0.101743
73,0.098248,0.103197,0.103188
74,0.097688,0.096663,0.096714
75,0.096920,0.100846,0.100201
76,0.097025,0.100950,0.100616
77,0.096197,0.092862,0.092031
78,0.096004,0.113504,0.112834
79,0.095557,0.104761,0.105273
80,0.095057,0.093931,0.093381
81,0.094460,0.101939,0.102204
82,0.094377,0.095894,0.096660
83,0.094060,0.102749,0.102933
84,0.093487,0.093897,0.094744
85,0.093041,0.089596,0.089638
86,0.091987,0.091637,0.091358
87,0.092468,0.091119,0.090581
88,0.091778,0.089206,0.089476
89,0.091643,0.087966,0.087301
90,0.091002,0.094011,0.094596
91,0.090675,0.089521,0.089174
92,0.090446,0.087937,0.087591
93,0.089641,0.088414,0.088370
94,0.089352,0.088593,0.087192
95,0.089529,0.091816,0.091707
96,0.088516,0.090904,0.090368
97,0.088663,0.098625,0.097907
98,0.088392,0.095102,0.094682
99,0.088223,0.088590,0.088904
100,0.087924,0.084985,0.084021
