epoch,train,val,test
1,0.617878,0.410650,0.414293
2,0.397856,0.372104,0.374599
3,0.344203,0.336777,0.337743
4,0.314391,0.299524,0.297646
5,0.292180,0.281314,0.279441
6,0.277244,0.279166,0.277726
7,0.267320,0.270710,0.269814
8,0.261749,0.256346,0.254779
9,0.257879,0.254971,0.253137
10,0.252071,0.248088,0.246633
11,0.248755,0.247488,0.246380
12,0.244508,0.241110,0.239643
13,0.240845,0.239866,0.238113
14,0.236401,0.232315,0.230696
15,0.233642,0.229580,0.228622
16,0.229704,0.234943,0.232933
17,0.225172,0.224087,0.222326
18,0.223847,0.232562,0.231937
19,0.220714,0.221955,0.219170
20,0.216054,0.210994,0.210035
21,0.213088,0.212150,0.211452
22,0.208441,0.203316,0.202457
23,0.206072,0.207177,0.206370
24,0.203543,0.198680,0.198312
25,0.201645,0.206662,0.206038
26,0.199028,0.197354,0.196790
27,0.198071,0.191937,0.191604
28,0.194458,0.190993,0.191070
29,0.192669,0.191207,0.191084
30,0.192486,0.204733,0.204118
31,0.189584,0.185560,0.185344
32,0.187889,0.184087,0.184105
33,0.187068,0.185026,0.185463
34,0.186009,0.188090,0.188500
35,0.183967,0.181674,0.182781
36,0.181296,0.178464,0.179322
37,0.180307,0.176225,0.176932
38,0.178223,0.174107,0.174417
39,0.177130,0.192765,0.193638
40,0.174814,0.195573,0.196241
41,0.173775,0.168082,0.168917
42,0.172812,0.170097,0.170827
43,0.171172,0.169356,0.169983
44,0.169980,0.170979,0.172837
45,0.169211,0.165250,0.166274
46,0.167876,0.166795,0.167815
47,0.167009,0.163673,0.164919
48,0.165010,0.162239,0.163428
49,0.165914,0.158089,0.159116
50,0.162738,0.159575,0.160580
51,0.163403,0.154501,0.155283
52,0.162046,0.159173,0.159379
53,0.160329,0.154065,0.154956
54,0.158993,0.171952,0.171043
55,0.158320,0.153067,0.153720
56,0.157851,0.156507,0.157219
57,0.155752,0.166403,0.167572
58,0.154680,0.154175,0.154656
59,0.154003,0.149783,0.150087
60,0.153362,0.149914,0.150393
61,0.152497,0.146643,0.146679
62,0.150813,0.154350,0.154278
63,0.149537,0.143675,0.143370
64,0.149192,0.145693,0.146072
65,0.148459,0.142769,0.142474
66,0.147993,0.150422,0.149676
67,0.146645,0.146120,0.146682
68,0.145547,0.140285,0.140375
69,0.145080,0.137093,0.137114
70,0.143593,0.140201,0.140797
71,0.142996,0.135978,0.136081
72,0.141331,0.136738,0.136076
73,0.141289,0.143613,0.143738
74,0.139304,0.137531,0.137110
75,0.138720,0.132425,0.132740
76,0.137855,0.134412,0.133672
77,0.137246,0.143678,0.142333
78,0.136685,0.148361,0.147700
79,0.135109,0.135669,0.135277
80,0.134194,0.129861,0.129007
81,0.133795,0.138366,0.137465
82,0.132567,0.137957,0.138336
83,0.132148,0.124127,0.123665
84,0.130078,0.125589,0.125580
85,0.130087,0.142486,0.143552
86,0.128938,0.131818,0.132132
87,0.127789,0.125970,0.125607
88,0.127396,0.127010,0.126006
89,0.126568,0.124331,0.123030
90,0.125965,0.119748,0.120054
91,0.123866,0.139896,0.138538
92,0.124137,0.122930,0.124117
93,0.123607,0.117409,0.117851
94,0.122258,0.124971,0.126167
95,0.121909,0.139525,0.138658
96,0.121521,0.115578,0.115424
97,0.120960,0.120244,0.120431
98,0.120373,0.119672,0.118925
99,0.119537,0.116284,0.116316
100,0.118612,0.115994,0.115667
