epoch,train,val,test
1,0.463740,0.272906,0.273274
2,0.268637,0.260347,0.260564
3,0.254833,0.238230,0.239736
4,0.244952,0.248867,0.248675
5,0.240523,0.234533,0.236960
6,0.233552,0.222829,0.224555
7,0.228031,0.212818,0.214743
8,0.222601,0.212670,0.212905
9,0.219167,0.203873,0.204314
10,0.215982,0.226949,0.227929
11,0.213571,0.198211,0.198082
12,0.211996,0.198464,0.198308
13,0.205291,0.204936,0.204661
14,0.205307,0.193332,0.192879
15,0.204858,0.195768,0.195459
16,0.198693,0.238707,0.237759
17,0.198013,0.196888,0.195739
18,0.198319,0.209804,0.208140
19,0.193574,0.187093,0.187259
20,0.194063,0.187376,0.187177
21,0.190844,0.194266,0.192057
22,0.191709,0.186671,0.186072
23,0.188944,0.180577,0.179548
24,0.187672,0.177677,0.177137
25,0.185171,0.177357,0.176686
26,0.185645,0.183389,0.183449
27,0.184909,0.178086,0.178537
28,0.181807,0.175994,0.174169
29,0.182708,0.182736,0.181746
30,0.181889,0.180035,0.179401
31,0.178924,0.179921,0.179834
32,0.180746,0.178456,0.178479
33,0.177262,0.172979,0.172759
34,0.178563,0.182183,0.182193
35,0.174862,0.172491,0.171617
36,0.176521,0.171790,0.170891
37,0.176118,0.170113,0.170120
38,0.173028,0.171108,0.170054
39,0.174244,0.164572,0.164403
40,0.171344,0.191574,0.190917
41,0.170833,0.176783,0.174771
42,0.169851,0.162778,0.162365
43,0.169429,0.169895,0.170214
44,0.168792,0.174684,0.173804
45,0.170146,0.162658,0.161989
46,0.169033,0.165949,0.164961
47,0.167765,0.160309,0.159618
48,0.167008,0.206404,0.205660
49,0.165979,0.160382,0.160171
50,0.165011,0.157550,0.157360
51,0.168288,0.159878,0.159696
52,0.167340,0.171106,0.170451
53,0.167158,0.194168,0.194500
54,0.165629,0.164083,0.163156
55,0.163798,0.169360,0.168595
56,0.164453,0.156782,0.157076
57,0.163372,0.157464,0.156279
58,0.162661,0.159185,0.158306
59,0.162580,0.158789,0.158027
60,0.162184,0.158976,0.157627
61,0.161591,0.158913,0.159282
62,0.161091,0.158092,0.157175
63,0.159791,0.160457,0.160205
64,0.158698,0.170292,0.168217
65,0.158659,0.151582,0.151720
66,0.157435,0.150261,0.149587
67,0.157478,0.156863,0.156991
68,0.156597,0.157532,0.158216
69,0.156943,0.157404,0.158115
70,0.155579,0.150089,0.149918
71,0.154590,0.163044,0.161205
72,0.154788,0.152261,0.151996
73,0.154536,0.147371,0.147499
74,0.153613,0.154998,0.154478
75,0.153015,0.148298,0.147915
76,0.152145,0.183342,0.181457
77,0.152632,0.144655,0.144711
78,0.153238,0.180973,0.179472
79,0.151536,0.148540,0.148114
80,0.151452,0.145675,0.145587
81,0.151178,0.144837,0.144103
82,0.150350,0.145068,0.144693
83,0.149961,0.146127,0.147053
84,0.149277,0.144128,0.144352
85,0.149683,0.145805,0.145282
86,0.148883,0.159805,0.159064
87,0.148902,0.149212,0.149234
88,0.148206,0.142473,0.141649
89,0.148123,0.143162,0.143482
90,0.148080,0.138402,0.138524
91,0.146651,0.150971,0.151310
92,0.146955,0.143371,0.143561
93,0.146212,0.154545,0.155280
94,0.145302,0.146304,0.146085
95,0.145687,0.148766,0.149495
96,0.144213,0.154041,0.152689
97,0.145289,0.141465,0.140948
98,0.145352,0.141221,0.141656
99,0.143811,0.166444,0.165614
100,0.144074,0.156090,0.155568
