epoch,train,val,test
1,0.022220,0.018448,0.018484
2,0.017366,0.016668,0.016694
3,0.015954,0.015818,0.015858
4,0.015119,0.015028,0.015103
5,0.014380,0.016839,0.016952
6,0.013698,0.012850,0.012903
7,0.013066,0.012670,0.012854
8,0.012524,0.012044,0.012201
9,0.011975,0.011329,0.011450
10,0.011640,0.011220,0.011310
11,0.011409,0.010781,0.010852
12,0.011105,0.010900,0.010992
13,0.010968,0.011124,0.011171
14,0.010896,0.010711,0.010826
15,0.010846,0.010364,0.010387
16,0.010802,0.010210,0.010229
17,0.010628,0.010401,0.010464
18,0.010585,0.010117,0.010202
19,0.010621,0.009951,0.010013
20,0.010421,0.009827,0.009892
21,0.010380,0.011397,0.011426
22,0.010714,0.010088,0.010197
23,0.010438,0.010681,0.010791
24,0.010348,0.010345,0.010433
25,0.010166,0.010068,0.010143
26,0.010286,0.010454,0.010486
27,0.010115,0.009937,0.009979
28,0.010140,0.010139,0.010243
29,0.010092,0.010439,0.010477
30,0.009926,0.009724,0.009797
31,0.010027,0.010297,0.010412
32,0.009868,0.009747,0.009813
33,0.009954,0.010858,0.010924
34,0.009862,0.009666,0.009811
35,0.010289,0.009621,0.009670
36,0.009923,0.009420,0.009502
37,0.009775,0.010480,0.010479
38,0.009783,0.009251,0.009396
39,0.009684,0.009271,0.009364
40,0.009617,0.009568,0.009623
41,0.009588,0.009292,0.009413
42,0.009638,0.009721,0.009790
43,0.009594,0.009225,0.009315
44,0.009473,0.009393,0.009448
45,0.009533,0.009480,0.009618
46,0.009478,0.009557,0.009609
47,0.009493,0.010260,0.010411
48,0.009368,0.009203,0.009344
49,0.009493,0.009360,0.009406
50,0.009585,0.009221,0.009316
51,0.009488,0.009011,0.009081
52,0.009478,0.009812,0.009843
53,0.009434,0.009250,0.009335
54,0.009409,0.011135,0.011255
55,0.009394,0.010229,0.010347
56,0.009378,0.008993,0.009092
57,0.009296,0.009129,0.009203
58,0.009248,0.009252,0.009283
59,0.009202,0.008952,0.008966
60,0.009200,0.009527,0.009565
61,0.009154,0.009493,0.009500
62,0.009222,0.008939,0.009009
63,0.009087,0.008954,0.009065
64,0.009127,0.009004,0.009048
65,0.009103,0.008922,0.009008
66,0.009024,0.009019,0.009117
67,0.009034,0.009253,0.009322
68,0.009025,0.008629,0.008664
69,0.008939,0.010341,0.010418
70,0.008991,0.009575,0.009724
71,0.008866,0.008652,0.008734
72,0.008872,0.008666,0.008730
73,0.008888,0.009153,0.009219
74,0.008797,0.008859,0.008969
75,0.008780,0.008942,0.009070
76,0.008773,0.008607,0.008665
77,0.008767,0.008579,0.008689
78,0.008702,0.008901,0.009007
79,0.008670,0.008499,0.008637
80,0.008726,0.008641,0.008790
81,0.008611,0.008421,0.008478
82,0.008629,0.008629,0.008741
83,0.008540,0.008651,0.008792
84,0.008555,0.008525,0.008593
85,0.008512,0.009566,0.009581
86,0.008499,0.008383,0.008521
87,0.008513,0.008098,0.008219
88,0.008469,0.008217,0.008332
89,0.008480,0.008296,0.008367
90,0.008402,0.008117,0.008273
91,0.008362,0.007913,0.008065
92,0.008368,0.008240,0.008391
93,0.008379,0.008744,0.008845
94,0.008304,0.007966,0.008085
95,0.008270,0.008247,0.008393
96,0.008271,0.008041,0.008183
97,0.008210,0.008194,0.008309
98,0.008244,0.008687,0.008686
99,0.008227,0.008552,0.008613
100,0.008194,0.008935,0.008994
