epoch,train,val,test
1,0.038906,0.019501,0.019511
2,0.018903,0.018323,0.018324
3,0.018236,0.017977,0.017907
4,0.017786,0.017808,0.017727
5,0.017291,0.017025,0.016907
6,0.016904,0.017248,0.017201
7,0.016447,0.015901,0.015800
8,0.016139,0.015664,0.015616
9,0.015722,0.015987,0.016010
10,0.015525,0.015217,0.015260
11,0.015108,0.014248,0.014272
12,0.014570,0.014845,0.014807
13,0.014312,0.013938,0.013930
14,0.014012,0.013264,0.013303
15,0.013517,0.012769,0.012823
16,0.013256,0.013940,0.013962
17,0.013003,0.013729,0.013870
18,0.012783,0.013623,0.013709
19,0.012426,0.013020,0.013133
20,0.012201,0.011549,0.011649
21,0.011884,0.011716,0.011843
22,0.011684,0.011917,0.012067
23,0.011404,0.010717,0.010771
24,0.011275,0.011005,0.010983
25,0.011056,0.010480,0.010522
26,0.010809,0.011352,0.011346
27,0.010563,0.010214,0.010153
28,0.010663,0.009989,0.010016
29,0.010378,0.010081,0.010194
30,0.010291,0.010218,0.010311
31,0.010218,0.009900,0.010067
32,0.010126,0.009857,0.009879
33,0.009924,0.010046,0.010107
34,0.009836,0.009804,0.009812
35,0.009908,0.009628,0.009662
36,0.009827,0.009725,0.009747
37,0.009738,0.009335,0.009315
38,0.009618,0.009126,0.009182
39,0.010049,0.009774,0.009832
40,0.009676,0.010011,0.010133
41,0.009599,0.009126,0.009174
42,0.009486,0.009562,0.009618
43,0.009657,0.009097,0.009128
44,0.010299,0.010417,0.010484
45,0.009935,0.009693,0.009721
46,0.009632,0.009756,0.009858
47,0.009475,0.009751,0.009817
48,0.009395,0.009477,0.009643
49,0.009367,0.009063,0.009088
50,0.009977,0.009780,0.009856
51,0.010025,0.010322,0.010374
52,0.009756,0.009345,0.009393
53,0.009641,0.009745,0.009857
54,0.009426,0.009764,0.009752
55,0.009345,0.010614,0.010666
56,0.009303,0.008996,0.009136
57,0.009243,0.012012,0.012158
58,0.009238,0.009364,0.009388
59,0.009099,0.008670,0.008767
60,0.009005,0.009370,0.009486
61,0.009007,0.008680,0.008752
62,0.008955,0.009279,0.009315
63,0.008936,0.008471,0.008553
64,0.008893,0.009752,0.009765
65,0.008945,0.009181,0.009370
66,0.008796,0.008548,0.008616
67,0.008865,0.009412,0.009470
68,0.008822,0.008929,0.008979
69,0.008735,0.008918,0.008999
70,0.008700,0.008956,0.009090
71,0.008708,0.009273,0.009324
72,0.008726,0.008265,0.008378
73,0.008649,0.008490,0.008664
74,0.008631,0.008428,0.008506
75,0.008872,0.008466,0.008597
76,0.008497,0.008854,0.008970
77,0.008620,0.008281,0.008451
78,0.008526,0.008965,0.009144
79,0.008592,0.009272,0.009347
80,0.008587,0.008964,0.008999
81,0.008500,0.008606,0.008693
82,0.008528,0.008847,0.008955
83,0.008546,0.013163,0.013262
84,0.008509,0.008421,0.008482
85,0.008451,0.009732,0.009774
86,0.008503,0.008188,0.008292
87,0.008463,0.008308,0.008470
88,0.008377,0.008771,0.008954
89,0.008372,0.008027,0.008183
90,0.008408,0.008078,0.008215
91,0.008384,0.007838,0.007981
92,0.008324,0.008066,0.008145
93,0.008389,0.009023,0.009085
94,0.008290,0.008024,0.008174
95,0.008349,0.008055,0.008138
96,0.008407,0.008277,0.008458
97,0.008349,0.008383,0.008446
98,0.008271,0.007818,0.007903
99,0.008362,0.008827,0.008937
100,0.008226,0.008310,0.008472
